time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
374.325,0.00253703,0.007821871,0.003950018,0.07117275,-0.03652697,0.0708153,0.3611696,0.02786544,-0.1761699,355.927,343.7745,0.454009,-0.1545258,-0.7155883,0.6764277,-1.427185,0.008115411,-2.31266,0.1489395,-0.1866165,1.660734E-05,311.7947,302.3212,22.60213,-0.1756932,-0.6926294,0.5185578,-1.167464,-0.2469551,-0.9344062,0.410406,-0.169762,0.09203072,322.3154,351.3794,351.5249,
388.196,0.002497509,0.005212273,0.00295756,0.03618453,-0.04251286,0.06621955,0.3612131,0.0278708,-0.1761634,355.9507,343.8286,0.3987066,-0.1127809,-0.8029697,0.7527217,-2.263147,-0.07854769,-2.013041,0.1474141,-0.199691,0.0104734,312.8763,306.6143,17.88238,-0.1250348,-0.7662686,0.5915943,-1.683552,-0.6052885,-0.4467728,0.4081424,-0.181898,0.1017426,324.1487,353.2013,351.3394,
402.252,0.003085101,0.001593265,0.0001724688,-0.002181526,-0.04222464,0.04313092,0.3612835,0.02779904,-0.1762367,356.0159,343.8605,0.386189,-0.1321067,-0.9316162,0.8264892,-2.769247,-1.071705,-1.988914,0.1430123,-0.2128996,0.02004974,316.1421,310.8878,14.54231,-0.1312743,-0.8813611,0.6768895,-2.411517,-0.8179964,-0.7155895,0.4054399,-0.1951437,0.1115514,327.4724,353.6888,352.2203,
416.183,0.003298205,-0.001673704,-0.0024963,-0.0237256,-0.04145531,0.01190922,0.3613505,0.02769026,-0.1763364,356.0869,343.8835,0.4046287,-0.2247159,-1.027426,0.7919064,-1.792027,-1.804896,-2.482702,0.1389646,-0.2273041,0.02818878,319.8952,310.6208,15.03973,-0.1788549,-1.010344,0.7173147,-2.810759,-0.4917425,-1.439764,0.4025149,-0.2102008,0.1204937,331.0514,352.3795,353.4435,
430.019,0.003821756,-0.00335382,-0.005198087,-0.03020867,-0.02940309,-0.01982389,0.3614359,0.02760342,-0.1764741,356.1354,343.8699,0.4524458,-0.2976216,-1.125007,0.7629704,-0.9874061,-2.33513,-3.001264,0.135066,-0.2428918,0.03707338,324.0748,310.285,15.73563,-0.2427429,-1.137635,0.7083946,-2.910907,0.3816033,-2.193824,0.4000656,-0.2264542,0.1288856,334.6188,349.7247,354.2141,
443.909,0.003693711,-0.002898274,-0.006952327,-0.01613786,-0.02188174,-0.02436311,0.3614969,0.02758241,-0.1766219,356.1168,343.8756,0.4635846,-0.3156828,-1.234248,0.7631842,-0.8221658,-2.659521,-3.388294,0.1318056,-0.2601503,0.04626973,328.3296,311.1989,15.35755,-0.2309276,-1.240121,0.6784429,-2.788747,0.7864297,-2.015166,0.3991826,-0.2444569,0.1376092,337.0985,348.5959,353.9759,
458.068,0.003294062,-0.001839959,-0.008550631,-0.01193191,-0.02029554,-0.003767994,0.3615408,0.02759576,-0.1767859,356.1014,343.8931,0.4153397,-0.2723907,-1.354045,0.7937468,-1.464501,-2.881733,-3.503411,0.1294892,-0.2793303,0.05607672,332.2899,313.9075,13.39013,-0.180503,-1.355426,0.6928295,-3.141392,0.5932024,-1.674337,0.3977445,-0.2646518,0.1474612,340.2133,349.0195,353.6212,
472.096,0.003003714,-0.002453829,-0.01101118,-0.01762666,-0.02509901,0.0149862,0.3615743,0.02755547,-0.1770134,356.1119,343.9464,0.363255,-0.2027112,-1.480452,0.8325708,-2.367181,-3.215312,-3.533986,0.1273836,-0.2999687,0.06597927,336.5133,317.7339,10.77657,-0.1291576,-1.529616,0.7408006,-4.002317,0.06829607,-1.714259,0.3963101,-0.2871029,0.158498,344.9654,350.1352,353.8949,
485.916,0.003155922,-0.004788783,-0.0153658,-0.04568322,-0.02439676,0.01304198,0.3616161,0.02743426,-0.1773567,356.2014,343.9553,0.3282465,-0.1488088,-1.675062,0.8431513,-3.303432,-3.206578,-3.906406,0.1238003,-0.3244246,0.07548472,341.5378,321.262,7.711983,-0.0978002,-1.749985,0.7665241,-5.013908,-0.1188924,-2.099509,0.3950125,-0.3122488,0.1686721,351.0604,350.858,354.542,
500.066,0.00370624,-0.007481545,-0.02025723,-0.07220901,-0.01776392,-0.01693375,0.3616954,0.02710977,-0.177995,356.3233,343.9463,0.3441949,-0.2418965,-1.808352,0.7279032,-3.274985,-0.8772061,-4.711252,0.1179668,-0.3487388,0.08229098,345.57,319.0458,4.569948,-0.0819902,-1.979509,0.7345334,-5.936394,0.3103331,-2.369372,0.3945243,-0.3401353,0.1778707,357.8211,350.7233,354.6756,
513.841,0.00439587,-0.01189642,-0.02585174,-0.08502313,-0.004141374,-0.06444429,0.3617991,0.02684036,-0.1785215,356.4777,343.9116,0.4246111,-0.3844764,-1.891584,0.5556943,-2.483028,1.925873,-5.437932,0.114087,-0.3746359,0.08775719,349.2419,313.2925,1.66234,-0.07044543,-2.208628,0.6434686,-6.82784,1.031036,-2.405797,0.3944866,-0.3706408,0.1851998,5.221719,349.9522,354.1814,
527.629,0.005437126,-0.01594044,-0.03106376,-0.09612304,0.008811027,-0.1183639,0.3619668,0.02649161,-0.1790878,356.6522,343.865,0.5342233,-0.4311494,-2.149811,0.4391159,-2.512541,2.489968,-6.992704,0.1089867,-0.40509,0.09297812,357.4521,311.2622,358.4481,-0.04140934,-2.40273,0.5003815,-7.419864,1.581293,-2.14223,0.395943,-0.4028644,0.1904004,12.46479,349.0161,353.1435,
