time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
583.336,-0.02048171,0.007382461,0.02498218,0.05520766,0.009520588,-0.06186353,0.1618669,0.01806316,0.01347256,358.7268,358.8126,359.0257,-0.9049503,1.37965,-0.1337152,1.731939,2.626736,2.818284,-0.1156065,-0.1397941,0.4395266,331.8747,349.5002,341.6725,1.327828,-0.1561989,-0.2796898,-0.7593275,-1.797618,-1.029541,0.4173586,-0.4080562,0.409187,22.02509,11.69555,343.8147,
597.341,-0.02221694,0.005065028,0.03002018,0.01769622,0.01334425,-0.07384822,0.1615028,0.01816306,0.01410508,358.7751,358.7892,359.11,-0.8682593,1.416484,-0.2063795,1.742868,2.464964,2.881536,-0.1272907,-0.1203599,0.4350264,329.9855,349.9377,338.7966,1.33641,-0.1762349,-0.3403898,-0.8028294,-1.846502,-0.8290733,0.4346443,-0.411338,0.403082,22.09753,13.37228,343.6912,
611.329,-0.02302262,0.004208718,0.03791329,0.01682787,0.03782224,-0.0991428,0.1612151,0.0182375,0.01494873,358.7266,358.6978,359.2405,-0.849256,1.447506,-0.2740522,1.717276,2.216142,2.658166,-0.1393731,-0.1004346,0.4301139,328.3914,350.1186,336.7457,1.339669,-0.2075429,-0.3955939,-0.9512443,-1.830757,-0.6795225,0.4517355,-0.4151198,0.3965322,22.48357,15.10431,343.7162,
625.154,-0.02291043,0.006157161,0.04745204,0.04854194,0.06941189,-0.1151201,0.1609597,0.01847878,0.01594377,358.6266,358.5793,359.3571,-0.8514351,1.483451,-0.3436081,1.928885,2.152557,2.342088,-0.1512037,-0.08034766,0.4244305,326.4666,349.4147,335.1834,1.347514,-0.2512105,-0.4688324,-1.303528,-1.692223,-0.7833999,0.4689792,-0.4191705,0.3887962,23.18289,17.29676,344.7015,
639.312,-0.02188137,0.00975976,0.05651551,0.07827968,0.09957154,-0.11831,0.1607578,0.01864195,0.01699948,358.5168,358.4361,359.4496,-0.8522434,1.508557,-0.406976,2.125286,2.154088,2.058659,-0.1624375,-0.06041478,0.4180521,324.5396,348.3587,333.7654,1.358408,-0.2669989,-0.5291216,-1.56212,-1.621639,-1.019507,0.4861878,-0.4224822,0.3806796,23.54362,19.84382,346.1497,
653.209,-0.02026743,0.01019376,0.06576271,0.06988898,0.1217732,-0.08199956,0.1605165,0.0186125,0.01811099,358.5254,358.3243,359.4103,-0.8405379,1.519259,-0.4715549,2.224838,2.182193,1.813655,-0.1732695,-0.04020593,0.410703,322.844,347.2175,332.3634,1.368085,-0.2633247,-0.5814824,-1.632789,-1.733905,-1.096388,0.5033101,-0.4255556,0.3718191,23.63441,22.42752,347.1443,
667.118,-0.01871191,0.006635382,0.07262785,0.01794004,0.1286308,-0.02480761,0.1603165,0.01855567,0.01926839,358.6324,358.2192,359.3117,-0.8132845,1.526031,-0.5400659,2.361929,2.239345,1.784178,-0.1831531,-0.0201487,0.4019455,320.8844,346.2883,330.567,1.37067,-0.2523264,-0.6500582,-1.549068,-1.986133,-0.9784945,0.5205458,-0.4287617,0.3614604,23.6498,24.88951,347.3708,
681.092,-0.01664489,0.001937861,0.07911798,-0.03603562,0.1308794,0.02558666,0.1601524,0.01846465,0.02058434,358.7337,358.1253,359.2094,-0.7728441,1.530488,-0.6267657,2.429725,1.922887,1.825839,-0.1928375,-0.0004431717,0.3917254,318.6023,345.8589,329.3242,1.349592,-0.2490834,-0.7191814,-1.403597,-2.125711,-0.7329214,0.5368878,-0.4321707,0.3502738,23.84644,26.93697,347.1965,
695.086,-0.01464478,-0.0005025514,0.08685654,-0.05066316,0.1256845,0.04586647,0.1600142,0.0185596,0.02208614,358.7647,358.0391,359.161,-0.7420591,1.519541,-0.7017998,2.371683,1.491806,1.682592,-0.2025568,0.01878132,0.3816012,316.6397,345.2586,328.9208,1.315074,-0.2539369,-0.7692701,-1.31904,-2.0716,-0.5641682,0.5524606,-0.435904,0.3392259,24.1042,28.74738,347.2372,
708.982,-0.01181072,0.002457188,0.09595354,-0.01399882,0.1312333,0.0409833,0.1599736,0.01881829,0.02375162,358.668,357.9177,359.1635,-0.7252299,1.491109,-0.7571964,2.346701,1.26965,1.454816,-0.2120215,0.03721151,0.3710609,314.9534,344.1469,328.7693,1.270729,-0.2651228,-0.826948,-1.406041,-1.88402,-0.4965254,0.5674959,-0.4397133,0.3271598,24.47848,30.60916,347.8618,
722.625,-0.008884922,0.009176552,0.1057794,0.04673991,0.1375567,0.01809993,0.1599996,0.01913553,0.02550554,358.519,357.7827,359.2121,-0.7097255,1.448146,-0.8030717,2.386407,1.329918,1.312255,-0.2210274,0.05469186,0.3600694,313.3086,342.8636,328.1444,1.233501,-0.270187,-0.8877194,-1.582554,-1.751664,-0.5344771,0.5820545,-0.4432013,0.3143052,24.75518,32.80589,348.9334,
