time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
318.718,-0.223987,-0.02978227,-0.1931292,0.5125404,2.730078,-0.4617877,0.2098532,0.02480116,-0.1250823,353.3439,307.4219,1.312359,-0.09956745,0.1074852,-0.3139762,-0.4035069,0.4647639,1.722905,0.07603945,-0.5171288,-0.2036667,40.41143,338.0561,6.398981,-0.3441392,-0.1365552,-0.02114701,-1.258252,1.18786,0.3956352,0.355047,-0.5655144,-0.005564203,44.0309,313.132,1.405874,
332.558,-0.219052,-0.02821627,-0.2022148,0.5361463,2.755668,-0.4316161,0.2070243,0.02440399,-0.1281576,353.5746,305.1158,1.516691,-0.09202465,0.1373858,-0.3006719,-0.1495321,0.6618123,1.874501,0.07650944,-0.5159661,-0.2080434,38.94512,336.4632,6.145951,-0.3331881,-0.1384809,-0.0199511,-0.9920704,1.240419,0.4067448,0.3509286,-0.5669163,-0.005272495,44.24945,312.345,1.896497,
346.354,-0.2123854,-0.02716228,-0.2113855,0.5227544,2.774299,-0.4039655,0.20432,0.02405456,-0.1314065,353.7759,302.842,1.633047,-0.09321983,0.1446264,-0.2973348,-0.1803425,0.8028618,1.961487,0.07685151,-0.5150113,-0.2123586,37.81253,334.5283,5.599866,-0.3298017,-0.1214944,-0.02445266,-0.8276033,1.254893,0.5351847,0.3468502,-0.5676996,-0.005625013,44.16484,311.4933,2.431614,
360.536,-0.2049518,-0.0274383,-0.2193766,0.5132521,2.775009,-0.3784518,0.2017722,0.02351516,-0.1346889,353.9721,300.5832,1.781679,-0.09583873,0.1357209,-0.3035597,-0.3830208,0.8728463,1.928535,0.07731719,-0.5141369,-0.2166812,37.09912,332.4405,4.810783,-0.3346352,-0.08977945,-0.04292023,-0.8742519,1.213925,0.7306803,0.3429291,-0.5681156,-0.006363878,43.76551,310.101,2.527456,
374.429,-0.1948092,-0.02960626,-0.2279037,0.5072672,2.772727,-0.3698604,0.1993842,0.02296722,-0.1380947,354.2368,298.3345,1.909823,-0.09020326,0.1171596,-0.3105384,-0.6489927,0.9605833,1.805975,0.07834195,-0.5135024,-0.2207721,36.7316,330.2233,3.940653,-0.338317,-0.06820153,-0.078823,-1.16536,1.172257,0.746962,0.3392456,-0.5689393,-0.007344466,43.55598,307.9067,1.773544,
388.374,-0.1851098,-0.03332426,-0.2352338,0.5058581,2.774138,-0.3581406,0.1971338,0.0223932,-0.1415799,354.4893,296.0692,2.027111,-0.07410058,0.1057776,-0.3147,-0.817803,1.024434,1.777734,0.0800357,-0.5129133,-0.2252183,36.07346,327.9364,3.033395,-0.3297682,-0.06929722,-0.1135443,-1.386651,1.220514,0.5583849,0.335672,-0.5702254,-0.008219633,43.82893,305.5986,0.8532459,
402.282,-0.1752194,-0.03638107,-0.2431737,0.5052468,2.778652,-0.3466358,0.19508,0.02188158,-0.145211,354.7589,293.787,2.123927,-0.05796042,0.1027346,-0.3165055,-0.8906701,1.014041,1.788858,0.0814684,-0.5121363,-0.2294577,35.238,325.8256,2.161809,-0.3124932,-0.08173355,-0.1373809,-1.471721,1.298814,0.3520489,0.3323377,-0.5716274,-0.009226233,44.3141,303.4589,0.07087251,
416.165,-0.1642644,-0.03710369,-0.2522765,0.484713,2.782381,-0.339018,0.1931484,0.02148047,-0.1489818,355.0005,291.5339,2.143102,-0.04490351,0.1038252,-0.3217726,-0.9287022,1.050424,1.741664,0.08275764,-0.5109372,-0.2337942,34.48935,323.8581,1.517536,-0.290987,-0.09532534,-0.1440677,-1.354147,1.356691,0.2570676,0.3291305,-0.5730744,-0.01016765,44.76799,301.8991,359.8426,
430.123,-0.1529548,-0.03498443,-0.2597516,0.4688953,2.777828,-0.310028,0.1914086,0.02114785,-0.1527653,355.1884,289.2935,2.213187,-0.0302095,0.1080289,-0.3292288,-0.8489225,1.186502,1.617986,0.08414866,-0.5094925,-0.2382993,33.85441,322.1882,1.441823,-0.2758615,-0.09841236,-0.1384371,-1.154442,1.344552,0.2925527,0.3257314,-0.5740405,-0.01119805,45.00598,300.8504,0.08073404,
443.913,-0.14209,-0.03251947,-0.2649435,0.473949,2.766273,-0.2579592,0.1897895,0.02071095,-0.1565545,355.3826,287.0808,2.38804,-0.01400828,0.1141956,-0.3318523,-0.6461761,1.319506,1.477549,0.08540472,-0.508067,-0.2427644,33.25102,320.9365,1.892098,-0.2685035,-0.08994979,-0.1359494,-1.030434,1.302414,0.4007132,0.3225816,-0.5748742,-0.01265609,45.0029,299.8492,0.4092061,
